gene_symbol	Control1	Control2	Control3	Control4	Diseased1	Diseased2	Diseased3	Diseased4
ADAM6	2	4	9	8	0	0	8	0
CTD-2006H14.2	0	6	1	1	7	10	2	28
RP11-884K10.7	5	9	12	2	3	4	19	45
RP11-428J1.4	30	39	23	25	21	29	9	25
CTD-2256P15.4	1	9	8	9	16	0	4	4
RP3-337O18.9	0	0	3	0	2	5	0	1
RP11-285J16.1	5	3	15	7	18	2	5	25
CTD-2199O4.7	12	21	15	7	3	18	30	31
RP11-557L19.1	1	2	1	0	6	1	5	2
RP11-393I2.4	8	21	9	17	12	11	21	12
RP1-199J3.7	7	6	5	5	20	1	10	15
RP1-178F15.4	3	2	3	0	6	2	0	2
ANKRD34A	7	7	6	1	24	8	17	32
RP11-52A20.2	3	26	14	11	66	37	18	52
SNORD14A	3	0	0	0	6	7	0	13
KB-431C1.5	1	5	2	2	0	1	0	7
CTC-366B18.4	2	0	3	0	5	0	6	25
RP11-471M2.3	5	11	7	11	1	0	0	0
GTF2H5	28	35	54	22	119	85	75	212
RP13-379O24.3	2	4	1	4	0	0	6	0
RP11-423P10.2	4	9	30	13	34	21	25	125
RNU6-6P	3	1	4	0	67	11	11	39
RP11-503P10.1	3	8	6	2	5	3	1	3
CTB-40H15.4	0	0	1	4	11	0	6	0
RP11-284F21.9	8	15	10	15	3	1	8	0
AC005618.6	19	23	22	19	11	13	8	31
RP11-332J15.4	7	3	4	4	0	0	2	0
CTA-363E19.2	1	6	3	1	3	9	3	38
RP11-11C20.3	1	0	3	1	0	17	2	11
RP11-348P10.2	16	15	13	5	7	9	7	25
RP4-734G22.3	25	59	27	25	17	22	7	44
CTD-2376I4.2	0	1	0	1	0	0	0	20
RP5-1126H10.2	5	5	4	7	8	12	5	14
CTD-2186M15.3	9	8	15	4	24	1	3	24
RP11-350N15.5	1	1	4	2	9	8	21	22
RN7SL715P	3	7	5	4	0	0	0	0
RP11-421M1.8	3	7	0	2	0	0	0	5
RP11-155O18.6	0	4	1	0	0	0	3	2
RP11-345P4.9	12	17	12	4	23	43	25	39
AC005754.8	3	4	10	5	9	5	3	7
CTB-113P19.5	0	0	0	0	0	1	0	21
CTD-2366F13.2	0	0	0	0	0	15	0	10
RP11-250B2.6	0	1	1	0	9	9	4	9
RP11-177G23.2	0	0	1	0	4	0	1	32
RP11-574K11.29	7	5	9	4	27	21	5	45
RP11-465B22.8	3	3	0	1	0	0	0	5
RP11-428J1.5	0	2	2	2	3	3	2	9
RP11-811P12.4	8	8	8	2	11	12	10	28
CTD-2035E11.5	3	2	3	0	0	3	0	23
RP4-739H11.4	8	8	16	9	9	17	33	35
ARF4-AS1	2	1	1	2	5	7	0	9
RP11-195B17.1	3	2	4	4	0	7	3	2
NBPF25P	6	12	9	8	7	9	25	20
RP11-477N3.1	1	0	2	0	0	13	0	5
RP11-350N15.6	3	3	7	0	6	8	7	21
GS1-72M22.1	5	9	7	11	0	0	10	1
LINC00340	37	52	42	31	133	72	122	106
U47924.31	7	3	6	2	7	6	14	14
RP11-802O23.3	0	0	1	1	6	2	0	18
RP11-110I1.13	1	3	1	2	4	0	2	6
RP3-325F22.5	2	4	1	4	0	0	0	0
RP11-156E8.1	12	13	7	8	49	13	11	28
HIST2H2AA4	79	39	63	0	504	416	101	488
RN7SL803P	1	0	0	0	0	0	0	9
RP11-157F20.3	2	2	3	2	6	0	1	0
RP11-277B15.3	4	7	4	3	0	0	0	3
RP3-500L14.2	5	5	4	7	0	0	0	0
RP11-347P5.1	9	33	11	14	1	1	4	1
CTB-181H17.1	7	12	11	4	7	13	19	45
XXbac-BPG181B23.7	3	3	3	1	21	4	13	49
RP1-20C7.6	1	0	0	1	0	3	9	6
CTD-2325A15.5	26	31	26	24	8	12	22	6
RP11-22L13.1	17	37	8	22	16	1	8	24
RP5-855D21.1	4	2	3	1	24	12	0	30
RP11-554D15.3	6	5	2	10	6	6	9	2
RP11-379F4.9	7	3	4	6	7	3	0	5
RP3-406P24.4	0	2	1	3	5	0	0	0
RP11-489E7.4	2	3	0	0	0	0	9	1
RP11-305P22.9	9	3	5	8	0	3	15	0
RP11-767C1.2	1	1	1	0	2	2	6	0
RP11-92K15.3	0	0	0	0	0	1	8	2
RP11-375N15.2	4	2	7	3	0	24	7	2
RP11-500C11.3	4	9	2	5	5	3	3	14
RP11-297I6.5	10	14	4	5	1	0	5	0
RP11-791G15.2	1	5	3	3	8	0	0	0
RP1-40E16.12	2	13	1	3	9	3	3	19
RP11-157J24.2	1	0	2	1	2	6	0	0
RP11-64P12.3	3	6	7	3	6	4	18	8
RP11-222K16.2	1	4	2	3	14	0	2	0
RP11-140K17.3	2	2	1	1	0	10	0	15
RP11-91J19.3	0	0	0	0	0	11	5	5
SNORD96A	0	0	1	0	12	9	3	2
RP11-111M22.4	0	0	1	0	0	9	2	11
RP11-19C24.1	0	8	1	6	0	1	0	0
RP11-231G3.1	1	6	5	2	11	1	0	10
XXbac-BPGBPG55C20.2	61	66	82	40	204	227	82	510
RP11-506K6.4	6	8	10	5	6	1	0	14
KB-1517D11.4	7	7	4	10	2	4	5	0
CTD-2517O10.6	10	12	5	6	0	0	3	16
NUDT3	305	277	480	43	2299	1611	1425	3180
RP11-65L19.4	5	5	2	6	1	0	6	0
KMT2B	175	174	240	14	573	557	490	848
RP11-129K12.1	0	0	4	1	2	1	2	0
RP11-53O19.3	11	20	30	4	91	81	32	175
RP11-722E23.2	1	0	1	0	9	0	6	1
RP1-151F17.2	4	8	3	14	20	33	21	34
RP1-30M3.5	0	4	3	1	6	5	6	9
RP11-43F13.4	12	20	6	12	1	8	12	0
RNA5SP506	2	0	0	0	6	6	2	5
RP5-1112D6.8	7	11	8	7	27	16	21	29
RP4-781K5.9	2	1	1	3	0	0	9	0
RP4-605O3.4	1	3	4	0	2	12	3	23
RP11-307L14.1	1	4	8	2	0	0	7	0
RP11-441F2.5	11	6	5	7	0	2	5	2
RP3-329A5.8	13	27	25	9	41	66	52	111
RP1-257A7.5	3	8	2	6	33	2	3	28
RP11-192P3.4	3	5	13	2	9	2	2	11
CTD-2035E11.4	4	0	3	4	2	0	0	0
RP11-44N11.2	6	6	5	1	2	0	3	0
POM121C	124	108	202	30	516	253	372	749
IFNL4	2	5	7	1	0	0	0	0
RP11-497D6.5	5	5	0	7	0	4	2	0
CD24	75	17	37	2	216	107	112	301
RP11-284F21.10	21	23	12	11	4	12	30	14
RP11-438J1.1	34	19	27	5	39	51	62	20
FAM47E-STBD1	11	7	24	0	4	39	0	99
CTD-2081C10.7	1	0	3	0	2	5	0	7
RP11-762H8.4	0	0	2	0	0	0	0	16
RP11-403I13.8	102	90	61	54	165	111	99	222
RP4-740C4.7	2	0	1	1	0	9	1	7
RP11-363E6.4	8	21	8	12	0	1	2	6
RP11-108M9.6	0	0	0	0	0	1	5	12
RP3-465N24.6	0	0	2	1	0	3	0	5
RP11-444E17.6	5	5	4	3	0	0	5	0
RP11-1017G21.6	0	0	0	0	8	2	0	3
RP1-225E12.3	0	0	0	0	44	27	4	41
RP11-182L21.6	9	6	4	2	49	43	17	18
RP3-395M20.12	1	8	4	1	0	0	2	0
RP4-758J18.13	10	2	10	0	12	16	13	15
RP11-1277A3.3	2	1	7	1	0	0	4	0
U91328.19	19	13	20	6	61	29	32	148
RP11-532F6.3	1	4	4	6	3	2	0	2
RP1-136B1.1	2	4	2	0	4	3	6	2
AC006273.4	0	2	3	0	4	2	1	0
RP1-191J18.66	8	3	12	3	16	1	31	1
RP11-474O21.5	17	10	6	0	43	9	0	14
RP11-169K17.3	3	3	1	1	1	0	3	0
RP11-284J1.1	9	21	7	12	2	1	0	0
RP11-532M24.1	5	0	1	0	6	0	3	3
RP11-182L21.5	1	13	7	10	0	1	0	3
RP5-1024N4.4	5	10	12	6	11	3	13	26
RP11-415F23.3	0	0	0	1	7	2	0	0
XXbac-BPG299F13.17	32	17	21	14	32	22	9	64
RP11-713M15.2	2	6	3	1	0	0	0	1
RP11-981G7.6	7	13	16	5	8	13	18	23
RP4-535B20.4	9	10	13	4	26	30	18	78
RP11-96C23.14	9	6	9	0	6	42	11	0
RP11-54O7.17	4	11	7	2	16	17	6	27
CFAP206	6	13	8	14	1	0	1	4
RP11-26J3.3	5	4	10	9	35	28	21	29
RP11-79P5.9	0	4	2	1	5	0	0	0
SNORA28	0	0	1	0	11	3	2	2
XXbac-BPG252P9.9	2	3	7	1	7	3	3	13
XXbac-BPGBPG55C20.1	1	2	0	0	6	0	8	0
RP11-255P5.2	4	2	2	2	3	12	1	5
RP11-351J23.2	8	13	2	5	1	2	2	0
RP11-324L17.1	6	5	11	5	0	0	1	7
AC096582.7	27	37	27	15	49	44	61	77
OR51F3P	2	6	6	1	0	1	0	0
RP11-396C23.4	1	0	0	0	0	0	3	15
RP11-480C16.1	5	6	1	8	0	1	6	6
CTB-113D17.1	28	35	21	28	14	22	40	11
RP11-179B2.2	9	23	14	5	2	1	8	1
MUSTN1	12	14	13	0	41	8	15	30
RP11-359K18.4	4	3	8	0	17	33	0	17
RP11-365H22.2	2	7	1	4	5	4	2	0
AP000347.2	113	107	159	32	334	182	256	498
RP5-1039K5.17	3	2	1	2	2	0	2	5
RP11-440L14.4	3	5	1	1	5	3	6	16
ZSWIM8-AS1	0	3	4	3	8	9	0	0
OR10AH1P	10	15	18	11	1	0	3	0
RP11-152N13.16	4	4	15	6	11	11	29	23
RP11-155G14.5	1	0	3	2	2	5	5	12
ZNF595	38	44	51	16	168	194	119	325
RP11-251G23.5	11	4	4	4	18	4	8	13
RP11-554J4.1	2	1	4	1	2	7	0	13
MAGI1-IT1	8	12	17	2	35	47	26	130
RP11-343C2.12	52	30	60	1	141	118	70	195
AFAP1-AS1	1	24	9	18	4	2	6	0
RP11-737O24.5	3	5	8	5	7	2	7	8
RP11-344N10.5	3	3	7	1	19	10	7	12
RP11-359E3.4	42	26	33	17	52	40	49	84
OR51F5P	2	9	3	4	2	6	0	1
DOC2B	55	71	129	9	345	213	347	507
GS1-114I9.1	4	4	9	5	21	0	3	4
CTD-2234N14.1	2	5	0	4	0	0	0	0
RP11-33O4.1	2	2	0	1	0	7	1	4
RP11-504P24.2	20	21	29	7	106	21	45	111
GS1-259H13.13	0	0	3	0	0	0	5	9
RP11-422P24.11	2	1	1	0	12	0	3	26
POLR2J4	28	14	37	6	55	38	79	134
RP4-548D19.3	0	2	0	0	6	0	0	13
RP11-191L17.1	0	2	0	1	0	0	0	29
OR51C4P	10	11	10	8	3	9	4	0
RP11-395A13.2	1	7	2	1	16	18	5	12
RP11-190A12.10	58	107	103	40	127	118	251	285
RP3-508I15.21	1	4	2	0	7	5	6	18
PCDHB16	36	49	45	18	90	130	82	191
RP11-127B20.3	1	2	1	0	5	12	7	1
FAM223A	1	0	1	0	4	0	0	7
AC004471.10	2	2	0	1	0	0	5	2
RP11-390E23.6	7	8	13	1	38	55	9	49
RP13-270P17.3	3	0	4	1	0	16	1	14
RP11-803B1.8	0	2	1	2	9	0	0	18
RP11-399K21.14	1	3	1	6	0	2	0	12
RP11-479O9.4	2	2	0	2	1	1	0	10
GAS6-AS2	7	9	8	7	19	2	11	24
MESTIT1	16	20	9	13	3	9	12	2
RP11-44N22.3	7	10	9	6	4	16	5	5
RP11-259N19.1	6	4	4	2	11	1	15	0
RP11-563N4.1	0	0	1	0	0	10	0	0
RP11-342I1.2	6	16	15	6	5	0	1	2
CTA-228A9.3	4	5	4	2	4	2	6	22
RP11-142A22.4	1	1	2	6	0	0	3	0
RP11-387A1.5	6	11	3	8	2	5	0	13
RP5-1159O4.2	17	30	27	24	15	7	4	9
KB-208E9.1	4	5	0	2	3	4	0	0
ADIRF-AS1	72	62	95	16	162	144	188	252
RP11-467P9.1	5	5	5	3	0	0	4	0
RP11-447L10.1	0	0	0	0	14	0	0	0
RP11-53B2.6	5	3	6	0	42	36	19	65
RP11-378J18.8	4	7	12	4	30	5	8	16
STAG3L5P-PVRIG2P-PILRB	63	30	107	0	123	110	75	484
AL133245.2	3	7	4	1	8	11	7	18
RP11-326G21.1	1	0	4	0	2	1	0	8
RP11-299J3.8	7	11	17	5	16	30	19	60
JMJD1C-AS1	3	2	0	5	5	8	11	10
RP4-673M15.1	15	16	13	3	14	6	9	11
RP11-725P16.2	2	8	6	14	2	0	8	0
RP11-571L19.8	2	0	5	2	0	19	0	17
LL22NC03-80A10.6	26	16	28	0	40	60	31	90
RP11-822E23.8	0	0	1	0	9	14	64	52
RP11-335L23.5	1	3	0	0	1	3	1	1
KB-226F1.2	1	2	0	1	5	3	1	0
RP11-464F9.22	0	1	0	1	3	2	3	7
RP11-438L19.1	1	0	4	0	1	7	3	1
KRTAP10-7	0	3	0	1	5	0	1	3
RP11-260M2.1	5	14	21	2	41	67	21	80
RP11-66B24.7	9	27	14	11	10	2	24	11
RP5-855D21.3	1	3	1	0	9	1	3	3
RP11-219A15.4	9	9	1	9	0	6	21	0
CTA-384D8.36	1	4	3	0	6	5	3	16
RP11-302B13.5	8	0	16	2	0	18	0	13
RP11-295M18.6	1	2	0	1	0	0	4	4
RP6-74O6.6	2	1	6	4	0	0	5	12
LL21NC02-1C16.2	1	6	5	7	0	0	0	7
RP11-792A8.4	9	3	7	2	14	7	22	82
RP11-91K8.5	2	0	9	5	0	0	9	0
RP3-428L16.2	1	3	1	1	23	4	13	6
RP11-313P13.5	2	6	1	4	0	0	7	0
RP1-137D17.2	0	3	2	0	4	0	2	0
RP11-347I19.8	1	5	3	3	0	0	0	0
RP11-801F7.1	6	24	6	12	3	9	3	26
RP11-398C13.6	4	3	5	2	2	18	12	33
RP4-593H12.1	3	7	6	4	0	0	15	3
RP11-710E1.2	0	1	2	0	2	0	4	4
CTA-292E10.8	0	4	2	0	6	17	7	24
RP11-12D24.10	2	0	4	1	7	0	0	15
RP11-798M19.6	12	13	22	8	27	9	17	53
RP11-408A13.4	3	0	6	0	13	1	0	9
LL22NC03-N14H11.1	8	9	7	6	28	6	34	22
RP5-1103G7.10	2	4	5	5	0	0	2	1
RP11-104H15.10	0	6	0	8	25	0	0	0
DCP1A	71	56	112	13	375	169	250	538
CSPG4P5	0	0	0	0	0	13	47	0
AC013394.2	97	118	173	12	784	561	385	1296
RP11-57G10.8	3	4	5	3	0	1	2	0
RP5-1159O4.1	14	24	24	12	11	30	58	73
RP11-309L24.4	12	10	10	9	4	2	7	5
RP11-299H21.1	7	15	7	12	6	8	7	13
RP11-392E22.11	0	2	0	0	0	1	7	0
RP11-265E18.1	0	1	0	2	4	3	1	6
RP11-533E19.7	12	14	12	7	9	20	13	16
RP11-121A8.1	5	5	1	6	1	0	3	0
CTD-2555O16.4	19	4	13	7	34	18	41	83
RP11-15L13.4	4	15	3	5	3	0	0	2
RP11-724N1.1	4	5	1	3	9	0	4	0
RP11-440D17.3	8	7	8	4	11	7	29	15
RP11-330O11.3	10	7	9	4	20	0	8	22
RP11-574K11.31	47	51	57	12	73	27	75	70
RP11-705C15.5	6	4	6	0	0	0	0	2
CTB-152G17.6	6	11	15	4	22	38	21	41
RP11-500M8.7	0	0	8	0	70	66	32	39
RP11-391L3.1	4	0	3	0	25	0	13	12
RP11-47A8.5	3	10	12	1	11	19	13	15
RP11-700J17.2	0	0	0	0	0	0	2	23
OR6U2P	7	3	3	8	0	0	3	0
RP11-134L10.1	0	6	10	1	24	0	8	81
CTA-246H3.12	4	3	0	3	0	0	0	0
CTD-2308L22.1	8	19	17	15	5	6	18	6
RP11-307C18.1	3	0	1	1	4	1	1	6
RP11-1275H24.2	1	2	2	1	4	4	7	1
CMP21-97G8.2	13	7	4	6	0	0	5	4
OR7A19P	4	0	1	0	0	16	1	1
RP11-190C22.9	3	7	4	3	4	0	0	0
RBAK-RBAKDN	4	0	3	0	0	0	12	4
RP11-528I4.2	1	9	7	3	0	0	6	0
RP11-329B9.4	1	2	0	0	12	9	13	5
CTC-297N7.11	2	3	1	4	6	0	6	0
CTA-390C10.10	21	22	47	10	127	93	88	100
RP11-517H2.6	8	11	8	7	29	20	5	23
RP11-508N22.12	22	33	26	26	51	63	27	130
OR5AL1	0	4	5	2	0	2	0	0
RP11-150D20.5	0	6	6	2	0	4	3	1
RP13-616I3.1	11	27	9	10	1	8	8	5
RP11-305K5.1	4	2	2	1	32	10	3	17
AF129408.17	0	1	1	2	0	0	0	14
RP11-196G18.24	3	1	5	1	6	6	2	29
RP11-332H14.2	7	14	18	16	14	21	15	51
RP11-362J17.1	0	0	2	0	0	0	2	6
KB-1572G7.2	15	34	17	2	143	75	79	44
RP11-336K24.12	13	16	8	6	12	6	14	6
ARL2-SNX15	12	10	12	0	0	0	0	0
GS1-279B7.2	2	4	0	8	0	1	0	11
RP11-170N16.3	1	5	4	0	0	0	1	13
RP11-351D16.3	1	3	5	2	5	5	1	1
RP11-96K19.5	3	8	4	5	1	0	17	0
RP11-728K20.3	3	13	11	4	6	1	1	0
CTD-2002J20.1	1	4	0	0	2	0	0	7
RP11-225B17.2	2	0	0	0	2	2	0	16
RP11-352M15.2	73	99	123	58	416	324	188	655
CTD-2303H24.2	4	21	40	0	57	192	30	74
AC000095.10	5	5	5	2	0	2	1	0
RP11-67L2.2	12	28	38	15	90	100	56	130
RP11-479G22.8	8	9	8	3	22	11	14	33
ATF4P2	21	8	2	4	1	6	11	1
C2orf15	4	2	3	4	2	2	1	7
RP11-834C11.14	1	14	10	3	11	0	11	4
OR51F4P	11	19	8	14	8	12	0	0
RP11-385F5.5	0	1	1	1	7	7	8	4
RP11-6J24.6	1	3	4	1	0	2	0	0
RP11-428K3.1	4	6	4	9	3	0	7	0
RP11-474G23.3	9	1	2	1	8	0	4	8
RP11-216L13.19	15	14	30	8	37	46	28	57
RP11-337C18.10	1	3	4	0	36	6	7	38
GRIN2B	145	197	92	137	38	42	110	47
RP11-1275H24.3	5	4	5	4	7	6	8	14
AP000255.6	2	6	3	5	0	8	5	8
RP11-302L19.3	1	7	1	0	0	0	8	0
CMP21-97G8.1	3	6	4	1	3	4	3	4
RP11-165A20.3	1	2	1	0	7	0	0	0
RP11-416N2.4	2	4	6	3	16	0	1	3
RP11-350G8.9	2	6	3	3	0	3	0	0
LYPD4	4	3	0	1	3	9	3	2
RP11-367H1.1	4	2	4	3	10	0	6	8
AC144652.1	4	9	4	3	1	6	8	10
RP11-128P17.4	6	4	3	1	0	0	0	2
RP5-973M2.2	1	3	2	0	0	1	10	0
RP11-799M12.2	1	0	1	0	8	2	1	4
NBPF26	200	66	168	5	1298	353	496	763
RP3-402G11.28	2	1	4	0	5	5	1	6
RP11-820I16.4	0	1	5	3	3	2	3	6
RP11-458F8.4	7	18	18	5	72	59	56	100
CITF22-92A6.1	5	3	4	1	18	2	12	3
RP5-1068E13.7	12	14	5	8	12	20	2	71
RP11-290D2.6	0	1	2	0	1	6	6	11
RP11-449P15.2	22	41	30	20	4	11	25	11
RP4-583P15.15	9	10	7	3	19	9	35	33
RP11-127B20.2	0	3	0	1	17	10	6	11
RP11-108L7.15	2	0	1	3	0	12	3	0
RP11-307N16.6	0	0	1	0	26	0	0	3
SNURF	5	6	12	1	10	9	14	26
RP11-5C23.2	6	3	1	3	10	0	0	6
RP11-339B21.10	3	5	5	0	7	7	8	14
RP3-402G11.25	1	1	1	0	1	0	1	9
CTD-3148I10.15	7	2	2	0	0	5	10	7
CITF22-1A6.3	9	4	1	6	16	6	4	14
AP000692.10	2	0	2	2	0	20	4	3
AC006946.16	10	11	18	5	15	33	0	24
RP4-549L20.3	1	2	0	3	0	7	0	6
RP11-107N15.1	3	0	3	0	0	6	8	6
RP13-131K19.7	2	0	6	2	3	0	3	12
RP5-998N21.10	0	0	2	0	3	2	0	3
RP5-1039K5.18	9	8	4	2	0	0	0	0
CTC-432M15.3	0	0	0	0	12	0	0	0
LLNLR-246C6.1	0	0	1	0	0	10	0	1
RP5-1180E21.5	0	4	5	1	2	16	0	6
RP11-1246C19.1	20	23	14	4	21	24	9	23
CTB-119C2.1	2	1	5	0	12	4	2	19
RP11-1263C18.3	4	6	1	2	0	12	2	1
RP11-434P11.2	2	2	3	1	8	6	13	46
RP11-83A24.2	31	64	79	27	78	73	70	173
RP3-402G11.26	3	2	2	0	6	3	0	13
RP11-986E7.7	6	5	4	2	4	12	8	27
RP11-531F16.4	1	1	0	1	4	4	0	0
RP11-212P7.2	28	39	40	11	116	71	90	107
AP000254.8	0	0	1	0	9	0	1	0
ZBTB8B	38	65	43	44	15	18	35	15
RP11-888D10.4	1	10	7	4	26	57	16	24
CTA-268H5.14	3	4	1	2	0	3	8	4
RP6-109B7.5	5	1	3	0	2	0	7	23
RP11-136C24.3	6	3	5	0	22	8	1	17
C1QTNF3-AMACR	0	0	0	0	0	5	0	17
AP000350.5	36	54	72	14	90	44	87	227
RP11-38M8.1	0	1	3	0	4	0	6	9
RP11-314B1.2	10	15	8	19	1	2	0	0
RP11-527J8.1	0	0	2	0	18	6	1	6
DGCR11	14	36	23	10	15	12	19	75
RP11-425A6.5	20	20	16	11	3	9	19	3
RP5-1136G13.2	4	12	10	8	32	10	22	70
RP11-138A9.2	2	4	0	8	0	0	2	2
RP11-621L6.3	6	16	8	2	16	1	5	3
RP11-141M3.6	13	14	3	9	2	5	0	0
RP11-448A19.1	36	44	63	43	129	106	77	237
RP11-61L19.2	3	0	4	2	0	2	0	0
OR7M1P	0	2	4	2	9	4	0	15
MICE	3	0	3	3	6	27	4	8
RP11-5C23.3	23	33	19	12	48	26	34	82
CTD-2410N18.4	4	4	4	1	0	6	2	22
RP4-539M6.20	0	3	1	0	0	1	5	1
RP11-672L10.6	0	0	0	0	0	8	0	3
RP11-804H8.6	1	4	3	2	40	4	4	7
RP11-285G1.14	1	0	1	2	5	4	0	15
CTA-989H11.1	5	3	1	0	12	0	0	4
RP5-827C21.6	1	4	3	3	0	0	1	0
RP11-376P6.3	0	2	2	0	1	10	0	4
RP11-700J17.1	0	0	0	0	0	0	0	15
SFTPD-AS1	0	9	3	2	8	1	4	2
RP5-1074L1.4	15	35	38	18	68	89	69	194
RP11-383I23.2	11	20	22	14	1	4	6	3
RP11-803P9.1	0	0	1	1	8	0	3	0
RP11-305L7.7	11	43	18	26	15	5	22	20
RP5-1065J22.8	8	9	8	5	11	10	1	26
RP3-412A9.16	7	7	4	3	13	6	8	3
RP11-634H22.1	0	3	5	1	13	6	0	1
RP11-255E6.6	1	3	1	3	6	0	3	0
RP11-474G23.1	8	9	24	0	5	0	57	0
RP5-855D21.2	0	6	3	4	8	0	4	11
RP11-329B9.3	1	4	2	3	4	3	2	0
RP11-114O18.1	2	3	2	3	0	0	0	0
RP11-702B10.2	3	1	0	5	3	0	0	0
RP4-751H13.7	18	27	13	6	21	1	16	3
CTD-2540B15.13	7	1	3	1	22	19	0	16
RP5-1165K10.2	8	9	11	2	19	21	2	32
AC006946.17	2	5	1	1	0	4	0	1
AC004067.5	0	0	5	2	3	5	7	20
RP11-166O4.6	4	13	8	5	12	15	25	24
RP11-218F10.3	1	3	5	6	2	3	4	12
RP4-569M23.4	1	11	6	3	6	0	2	13
RP11-797D24.3	1	2	0	4	1	0	5	8
RP11-686O6.2	14	20	12	6	8	19	23	29
RP11-548H3.1	3	7	5	1	15	9	21	26
RP11-102N12.3	2	7	2	1	9	0	2	4
RP11-465N4.5	5	15	7	8	0	7	0	4
RP11-126K1.9	18	19	6	5	0	0	3	0
RP4-671G15.2	4	6	1	0	2	0	0	6
RP11-225H22.7	3	5	3	4	0	0	0	0
RP11-731C17.2	0	5	6	4	8	1	1	8
RP4-621B10.8	3	4	10	5	0	0	0	2
RP11-180C16.1	8	13	8	15	24	15	25	38
AP000230.1	7	4	0	1	0	0	4	0
AC011841.1	0	1	3	7	2	2	0	0
FOXD4L6	4	5	3	9	1	0	3	0
SPDYE8P	16	28	7	10	9	9	14	8
RP11-45A17.4	0	4	10	1	0	0	6	3
RP11-248G5.9	5	3	12	13	5	2	14	0
RP11-74M13.6	2	7	0	4	0	0	3	0
AGBL1	27	47	25	52	20	7	8	3
HIST1H4K	8	0	4	0	26	179	53	52
SNORA44	14	6	11	0	100	101	24	76
AC136616.1	3	12	3	4	1	0	14	6
RP11-244H18.3	2	10	2	2	0	0	2	0
CWC25	69	55	99	11	380	234	219	434
REXO1L3P	0	3	3	5	0	0	0	0
RP11-390P24.1	1	0	7	0	19	3	1	14
OR10G1P	2	2	3	1	0	0	2	0
SMIM11B	2	18	11	1	47	29	19	43
RP11-707E21.1	2	6	5	4	0	0	0	0
RP11-392A14.9	26	22	12	12	9	5	3	34
PMS2P6	1	0	3	0	11	7	16	41
RP11-59C5.3	9	25	15	7	12	4	30	29
EPOP	15	18	7	5	11	6	29	14
ZNHIT3	24	18	37	6	113	93	32	197
RP11-66N24.7	2	2	2	2	0	9	1	12
RP5-908M14.9	1	1	5	1	0	1	2	30
RP11-219H23.2	0	3	3	2	2	0	0	0
AC011718.4	20	50	8	18	4	0	8	19
ABC7-481722F1.1	2	4	3	1	0	0	0	0
CTB-52I2.4	10	10	8	6	10	1	15	21
RP11-405M12.4	1	3	0	1	5	9	2	3
CTD-2378E12.1	3	11	7	10	3	2	3	9
RP11-566K19.8	6	49	22	14	8	0	34	0
RP11-996F15.6	2	1	2	1	23	9	2	13
RP11-617F23.2	3	6	6	4	16	18	5	22
RP11-758H9.2	1	3	0	2	9	8	10	19
LHX1	2	10	5	9	8	1	10	4
RF00004	2	1	3	0	0	1	23	4
RP11-93H24.3	13	17	11	7	14	11	5	17
RP11-7F17.8	10	16	6	1	20	21	24	37
RNA5-8SN2	8092	4502	7037	206	78787	108786	61524	83748
AL592183.1	4	0	8	0	0	26	2	83
CYFIP1	245	205	471	23	1613	922	973	1953
RP11-566K19.9	1	23	7	0	7	0	0	7
RP4-563E14.1	1	2	4	0	11	0	3	29
CH17-360D5.3	1	8	7	10	0	1	4	3
RP11-370I10.11	6	0	1	2	4	8	0	0
RF00003	1605	689	1407	6	21620	62536	6005	27787
RP11-236L14.2	6	22	10	12	24	9	18	52
CTD-2506P8.6	0	1	4	4	0	0	2	0
RP11-78J21.7	3	6	8	0	34	29	14	12
RP11-554D20.2	6	6	14	1	61	24	35	23
LL21NC02-21A1.1	2	3	1	1	1	4	3	8
RP11-1046B16.3	0	2	2	0	3	0	0	4
HIST1H2BG	13	12	7	12	7	15	22	40
RP11-620J15.4	3	7	6	4	0	0	0	2
USP27X	18	37	16	30	36	37	71	37
RP11-81H14.1	9	3	7	6	5	4	0	9
TAF9	14	19	34	1	153	119	75	129
AC009091.1	3	3	3	7	0	0	0	0
ATP5A1P10	5	9	0	0	0	0	0	0
RP11-809H16.3	1	7	1	7	4	7	0	0
RP11-635O16.2	3	4	1	1	0	0	6	0
FRMD6-AS1	3	7	4	2	15	11	19	29
RP11-500G22.5	4	7	0	4	7	0	5	0
RP1-101A2.1	5	2	1	1	2	0	0	2
CH17-224D4.3	4	4	1	10	0	0	5	0
NOL12	23	29	70	6	123	124	100	156
CTD-2619J13.27	0	5	3	0	0	0	5	0
RP11-115H13.1	0	0	1	0	2	16	0	7
RP11-384G23.1	1	7	3	2	0	3	2	0
RP11-761I4.5	8	8	5	2	0	0	0	0
CTD-2536I1.3	0	0	0	0	0	0	0	15
RP11-227D13.5	0	8	0	0	0	0	5	0
RP4-620E11.8	1	0	1	0	2	2	0	6
RP11-10K17.7	1	1	4	2	0	0	0	5
RP11-973D8.5	3	2	2	2	1	0	6	0
GOLGA6L1	4	14	5	5	47	25	72	6
HIST1H3G	7	17	10	5	38	5	20	0
RP11-585P4.6	3	1	5	1	1	6	0	14
RP11-425D17.2	0	0	1	1	0	13	0	0
RP4-777L9.2	9	14	4	8	0	4	0	12
RP11-292B8.1	12	37	21	27	0	4	20	0
RP5-935K16.2	19	23	19	13	4	7	14	4
